
# TYPE process_cpu_time_seconds_total counter
# UNIT process_cpu_time_seconds_total seconds
# HELP process_cpu_time_seconds_total Total CPU seconds broken down by different states.
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="+Inf"} 3354307 1786132820020
db_client_operation_duration_seconds_sum{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6"} 70900.4506225918 1786132820020
db_client_operation_duration_seconds_count{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6"} 3354307 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="0.001"} 29564 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="0.005"} 49609 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="0.01"} 55577 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="0.05"} 58140 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="0.1"} 58318 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="0.5"} 59056 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="1"} 60078 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="5"} 60660 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="10"} 60701 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20",le="+Inf"} 60866 1786132820020
db_client_operation_duration_seconds_sum{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20"} 5177.92799219996 1786132820020
db_client_operation_duration_seconds_count{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="LETSFLY",db_system_name="microsoft.sql_server",server_address="10.15.5.20"} 60866 1786132820020
# TYPE microsoft_entityframeworkcore_active_dbcontexts gauge
microsoft_entityframeworkcore_active_dbcontexts{otel_scope_name="Microsoft.EntityFrameworkCore"} 2 1786132820020
# TYPE microsoft_entityframeworkcore_queries_total counter
microsoft_entityframeworkcore_queries_total{otel_scope_name="Microsoft.EntityFrameworkCore"} 3373548 1786132820020
# TYPE microsoft_entityframeworkcore_savechanges_total counter
microsoft_entityframeworkcore_savechanges_total{otel_scope_name="Microsoft.EntityFrameworkCore"} 24858 1786132820020
# TYPE microsoft_entityframeworkcore_compiled_query_cache_hits_total counter
microsoft_entityframeworkcore_compiled_query_cache_hits_total{otel_scope_name="Microsoft.EntityFrameworkCore"} 3373421 1786132820020
# TYPE microsoft_entityframeworkcore_compiled_query_cache_misses_total counter
microsoft_entityframeworkcore_compiled_query_cache_misses_total{otel_scope_name="Microsoft.EntityFrameworkCore"} 127 1786132820020
# TYPE microsoft_entityframeworkcore_execution_strategy_operation_failures_total counter
microsoft_entityframeworkcore_execution_strategy_operation_failures_total{otel_scope_name="Microsoft.EntityFrameworkCore"} 1387 1786132820020
# TYPE microsoft_entityframeworkcore_optimistic_concurrency_failures_total counter
microsoft_entityframeworkcore_optimistic_concurrency_failures_total{otel_scope_name="Microsoft.EntityFrameworkCore"} 1 1786132820020
# TYPE http_client_active_requests gauge
# HELP http_client_active_requests Number of outbound HTTP requests that are currently active on the client.
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="GET",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 1 1786132820020
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="POST",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 0 1786132820020
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="POST",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http"} 0 1786132820020
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="PUT",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 0 1786132820020
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="GET",server_address="10.15.5.232",server_port="52914",url_scheme="http"} 0 1786132820020
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="POST",server_address="dashscope-intl.aliyuncs.com",server_port="443",url_scheme="https"} 0 1786132820020
http_client_active_requests{otel_scope_name="System.Net.Http",http_request_method="GET",server_address="10.15.5.153",server_port="5041",url_scheme="http"} 0 1786132820020
# TYPE http_client_request_duration_seconds histogram
# UNIT http_client_request_duration_seconds seconds
# HELP http_client_request_duration_seconds Duration of HTTP client requests.
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.005"} 44735 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.01"} 160794 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.025"} 336982 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.05"} 381534 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.075"} 391815 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.1"} 395435 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.25"} 425428 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.5"} 481659 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.75"} 504707 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="1"} 511937 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="2.5"} 517975 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="5"} 518099 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="7.5"} 518121 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="10"} 518131 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="+Inf"} 518135 1786132820020
http_client_request_duration_seconds_sum{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 59394.2181921005 1786132820020
http_client_request_duration_seconds_count{otel_scope_name="System.Net.Http",http_request_method="GET",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 518135 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.005"} 0 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.01"} 0 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.025"} 2386 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.05"} 38802 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.075"} 110382 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.1"} 145523 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.25"} 243411 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.5"} 269141 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.75"} 274560 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="1"} 276141 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="2.5"} 277239 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="5"} 277291 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="7.5"} 277301 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="10"} 277302 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="+Inf"} 277303 1786132820020
http_client_request_duration_seconds_sum{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 39872.31181029908 1786132820020
http_client_request_duration_seconds_count{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 277303 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.005"} 31243 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.01"} 78885 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.025"} 130212 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.05"} 130774 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.075"} 130800 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.1"} 130816 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.25"} 130839 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.5"} 130855 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="0.75"} 130865 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="1"} 130869 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="2.5"} 130873 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="5"} 130877 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="7.5"} 130877 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="10"} 130879 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http",le="+Inf"} 130879 1786132820020
http_client_request_duration_seconds_sum{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http"} 1262.286122800003 1786132820020
http_client_request_duration_seconds_count{otel_scope_name="System.Net.Http",http_request_method="POST",http_response_status_code="200",network_protocol_version="1.1",server_address="vm-p-inf-logstash-node02.global.sletat.ru",server_port="5356",url_scheme="http"} 130879 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.005"} 0 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.01"} 0 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.025"} 23 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.05"} 42 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.075"} 62 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.1"} 72 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.25"} 90 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.5"} 99 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="0.75"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="1"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="2.5"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="5"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="7.5"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="10"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https",le="+Inf"} 100 1786132820020
http_client_request_duration_seconds_sum{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 9.678475400000002 1786132820020
http_client_request_duration_seconds_count{otel_scope_name="System.Net.Http",http_request_method="PUT",http_response_status_code="200",network_protocol_version="1.1",server_address="letsfly.sletat.ru",server_port="443",url_scheme="https"} 100 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.005"} 1227 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.01"} 2312 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.025"} 2349 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.05"} 2351 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.075"} 2353 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.1"} 2353 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.25"} 2450 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.5"} 2450 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="0.75"} 2450 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="1"} 2450 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="2.5"} 2451 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="5"} 2451 1786132820020
http_client_request_duration_seconds_bucket{otel_scope_name="System.Net.Http",error_type="404",http_request_method="GET",http_response_status_code="404",network_protocol_version="1.1",server_address="10.15.5.232",server_port="52914",url_scheme="http",le="7.5"} 2451 1786132820020
